,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct
384,Dwight Powell,33.0,DAL,55.0,10.0,2.1,0.689,0.4,0.651,12.9,0.713,0.082,11.7,12.5,1.6,3.3,18.4,7.6,1.7,0.0,0.3,4000000.0,0.476
385,Tyler Kolek,23.0,NYK,41.0,7.2,2.0,0.329,0.298,0.765,10.3,0.453,0.573,5.2,29.5,2.0,1.3,16.7,15.8,0.4,-2.8,-0.1,2191897.0,0.622
386,Kobe Brown,25.0,LAC,40.0,6.8,1.9,0.458,0.231,0.714,10.8,0.513,0.361,13.5,11.9,1.3,1.5,13.8,14.0,0.5,-2.1,0.0,2654880.0,0.61
387,Ariel Hukporti,22.0,NYK,25.0,8.7,1.9,0.677,0.0,0.462,7.6,0.654,0.0,13.5,6.4,0.2,6.4,36.4,11.6,0.1,-5.6,-0.2,1955377.0,0.622
388,Bobi Klintman,21.0,DET,8.0,5.3,1.9,0.6,0.4,0.5,15.9,0.689,0.5,9.2,22.5,2.3,2.3,8.4,11.9,0.2,1.0,0.0,1955377.0,0.537
389,Garrett Temple,38.0,TOR,28.0,8.1,1.9,0.3,0.214,0.917,8.5,0.406,0.467,6.8,17.4,3.6,0.8,13.3,13.9,0.2,-3.6,-0.1,2296274.0,0.366
390,Jericho Sims,26.0,NYK,53.0,11.9,1.8,0.634,0.0,0.615,10.0,0.639,0.0,17.6,6.4,0.8,2.8,30.1,7.6,1.3,-3.0,-0.2,2461463.0,0.622
391,E.J. Liddell,24.0,CHI,12.0,4.4,1.8,0.533,0.3,1.0,11.1,0.661,0.667,8.9,7.6,0.9,1.6,11.2,14.1,0.1,-4.1,0.0,706898.0,0.476
392,Pacome Dadiet,19.0,NYK,18.0,6.2,1.7,0.323,0.316,0.667,6.3,0.446,0.613,9.3,5.6,1.3,1.7,10.6,14.7,0.0,-6.5,-0.1,2847600.0,0.622
393,Jordan Walsh,20.0,BOS,52.0,7.8,1.6,0.361,0.273,0.583,6.9,0.464,0.663,9.3,6.0,1.5,2.5,16.1,11.5,0.4,-3.9,-0.2,2221677.0,0.744
394,Leonard Miller,21.0,MIN,13.0,2.5,1.5,0.4,0.0,1.0,19.9,0.54,0.333,19.1,0.0,3.1,2.9,9.7,27.8,0.1,-3.7,0.0,2221677.0,0.598
395,Cam Christie,19.0,LAC,13.0,4.5,1.4,0.292,0.154,0.5,9.1,0.349,0.542,11.5,13.7,4.2,1.7,7.2,20.5,0.0,-2.5,0.0,1955377.0,0.61
396,Xavier Tillman Sr.,26.0,BOS,33.0,7.0,1.0,0.245,0.156,0.75,2.4,0.31,0.604,10.1,3.8,2.4,2.0,20.4,13.1,-0.3,-8.1,-0.4,2546675.0,0.744
397,Joe Ingles,37.0,MIN,19.0,6.0,0.8,0.261,0.2,0.0,2.4,0.326,0.652,5.4,25.4,0.9,0.0,28.1,12.2,-0.1,-7.0,-0.1,2296274.0,0.598
