Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype
151,Jrue Holiday,34.0,BOS,62.0,30.6,11.1,0.443,0.353,0.909,13.5,0.565,0.534,7.6,17.3,1.7,1.3,11.3,15.8,5.1,0.7,1.3,32400000.0,0.744,17.293669011626754,5,3&D Specialist
152,Walker Kessler,23.0,UTA,58.0,30.0,11.1,0.663,0.176,0.52,20.0,0.66,0.081,21.9,8.3,1.0,7.4,15.0,13.7,5.4,1.8,1.7,4878938.0,0.207,15.400438336157816,4,Defensive Anchor / Elite Rebounder
153,Gary Trent Jr.,26.0,MIL,74.0,25.6,11.1,0.431,0.416,0.848,11.7,0.591,0.659,4.8,6.4,1.8,0.2,5.7,17.1,3.3,-1.6,0.2,3697105.0,0.585,15.12306090940387,5,3&D Specialist
154,Tim Hardaway Jr.,32.0,DET,77.0,28.0,11.0,0.406,0.368,0.855,9.8,0.567,0.672,4.7,7.6,0.8,0.3,6.1,15.5,3.5,-2.1,0.0,2296274.0,0.537,14.646798802768483,5,3&D Specialist
155,Duncan Robinson,30.0,MIA,74.0,24.1,11.0,0.437,0.393,0.887,11.8,0.595,0.729,5.2,14.7,1.1,0.3,11.1,19.2,2.7,-1.7,0.1,26722692.0,0.451,17.101023687482304,5,3&D Specialist
156,Guerschon Yabusele,29.0,PHI,70.0,27.1,11.0,0.501,0.38,0.725,14.7,0.616,0.487,11.8,11.6,1.5,1.2,12.2,16.3,3.9,-1.0,0.5,5500000.0,0.293,15.520258832020865,5,3&D Specialist
157,Brice Sensabaugh,21.0,UTA,71.0,20.2,10.9,0.459,0.422,0.89,13.4,0.612,0.621,7.9,12.0,1.5,0.5,14.5,21.5,1.2,-1.2,0.3,2693760.0,0.207,14.80644891635254,1,Low Efficiency Creator
158,Bogdan Bogdanović,32.0,LAC,54.0,25.0,10.8,0.427,0.363,0.879,11.1,0.559,0.587,6.6,15.2,1.5,0.8,12.4,18.7,1.9,-2.0,0.0,16020000.0,0.61,16.58934856202646,5,3&D Specialist
159,Jordan Hawkins,22.0,NOP,56.0,23.6,10.8,0.372,0.331,0.816,9.6,0.504,0.597,6.5,7.3,1.1,1.7,8.8,21.0,-0.5,-5.4,-1.2,4741320.0,0.256,15.371826346826985,1,Low Efficiency Creator
160,Nikola Jović,21.0,MIA,46.0,25.1,10.7,0.456,0.371,0.828,13.8,0.595,0.557,8.6,16.6,1.6,1.1,12.6,18.3,2.5,0.3,0.7,4445417.0,0.451,15.307384460754042,1,Low Efficiency Creator
161,Grayson Allen,29.0,PHO,64.0,24.1,10.6,0.448,0.426,0.816,13.7,0.631,0.716,7.0,12.5,1.7,1.2,12.2,17.6,2.5,-0.3,0.7,16875000.0,0.439,16.641343853982125,5,3&D Specialist
162,Keon Johnson,22.0,BRK,79.0,24.4,10.6,0.389,0.314,0.77,10.4,0.499,0.515,8.8,14.6,2.1,1.5,12.1,21.7,0.5,-3.3,-0.6,2349578.0,0.317,14.669746721135084,1,Low Efficiency Creator
163,Terry Rozier,30.0,MIA,64.0,25.9,10.6,0.391,0.295,0.852,10.5,0.497,0.485,7.9,14.8,1.1,0.8,10.3,20.4,1.0,-3.7,-0.7,26643031.0,0.451,17.098038210973975,1,Low Efficiency Creator
164,Obi Toppin,26.0,IND,79.0,19.6,10.5,0.529,0.365,0.781,17.4,0.642,0.503,11.5,11.9,1.4,1.6,9.5,20.1,4.3,1.7,1.4,14000000.0,0.61,16.454567959008102,5,3&D Specialist
165,Jonas Valančiūnas,32.0,WAS,81.0,18.8,10.4,0.55,0.216,0.879,20.8,0.602,0.059,22.0,17.6,1.2,2.8,14.6,22.8,4.3,0.6,1.0,10395000.0,0.22,16.156835575474343,4,Defensive Anchor / Elite Rebounder
