,Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype,Predicted_Salary,Value_Gap
195,195,Jalen Wilson,24.0,BRK,79.0,25.7,9.5,0.397,0.337,0.818,9.5,0.541,0.584,7.5,10.8,1.0,0.2,10.2,16.6,1.9,-3.9,-1.0,2221677.0,0.317,14.613773324189143,1,Low Efficiency Creator,3629501.983456811,-1407824.983456811
196,196,Nickeil Alexander-Walker,26.0,MIN,82.0,25.3,9.4,0.438,0.381,0.78,11.6,0.579,0.601,7.1,15.0,1.2,1.5,12.9,16.0,4.3,-0.4,0.8,15161800.0,0.598,16.534289730594697,5,3&D Specialist,8638323.78645497,6523476.21354503
197,197,Cole Anthony,24.0,ORL,67.0,18.4,9.4,0.424,0.353,0.823,14.2,0.531,0.401,9.5,25.5,1.8,2.5,14.8,24.6,2.0,0.1,0.7,15396274.0,0.5,16.549636155008535,1,Low Efficiency Creator,6896776.9733392075,8499497.026660793
198,198,Anthony Black,21.0,ORL,78.0,24.2,9.4,0.423,0.318,0.761,11.6,0.521,0.315,7.0,19.4,2.3,2.4,16.4,19.6,2.4,-1.9,0.0,7970280.0,0.5,15.89123030735943,1,Low Efficiency Creator,5421310.506762267,2548969.493237733
199,199,Max Strus,28.0,CLE,50.0,25.5,9.4,0.442,0.386,0.824,12.6,0.607,0.786,9.2,15.6,1.0,0.9,12.2,14.7,3.4,1.3,1.1,15936452.0,0.78,16.58411968460732,5,3&D Specialist,11759124.914761467,4177327.085238533
200,200,Cam Whitmore,20.0,HOU,51.0,16.2,9.4,0.444,0.355,0.75,15.5,0.549,0.454,9.7,8.9,1.8,1.4,9.6,23.9,1.8,0.3,0.5,3539760.0,0.634,15.079569768706484,6,Versatile Player,4352187.665482218,-812427.6654822184
201,201,Nick Richards,27.0,PHO,57.0,22.0,9.3,0.591,0.0,0.744,16.6,0.634,0.006,20.4,5.9,0.5,4.2,16.3,17.3,3.0,-3.3,-0.4,5000000.0,0.439,15.424948670398354,4,Defensive Anchor / Elite Rebounder,5272586.878454579,-272586.87845457904
202,202,Kel'el Ware,20.0,MIA,64.0,22.2,9.3,0.554,0.315,0.687,17.4,0.603,0.239,18.4,6.5,1.4,4.8,10.4,17.2,4.1,-0.1,0.7,4443360.0,0.451,15.306921630024036,4,Defensive Anchor / Elite Rebounder,5671272.232290024,-1227912.232290024
203,203,Zach Edey,22.0,MEM,66.0,21.5,9.2,0.58,0.346,0.709,18.2,0.624,0.12,20.5,6.1,1.2,5.5,15.3,16.4,4.9,-0.1,0.7,6045000.0,0.585,15.614742207456988,4,Defensive Anchor / Elite Rebounder,6203412.864816996,-158412.86481699627
204,204,Wendell Carter Jr.,25.0,ORL,68.0,25.9,9.1,0.46,0.234,0.737,13.7,0.544,0.322,16.0,11.5,1.5,2.2,11.9,16.0,4.6,-1.2,0.3,10850000.0,0.5,16.19967573011664,1,Low Efficiency Creator,8687912.868653245,2162087.1313467547
205,205,Noah Clowney,20.0,BRK,46.0,22.7,9.1,0.358,0.333,0.838,9.2,0.516,0.702,9.9,5.9,1.1,2.0,10.2,19.0,0.5,-4.1,-0.5,3398640.0,0.317,15.038886203800349,1,Low Efficiency Creator,3657176.71410388,-258536.71410387987
206,206,Dalton Knecht,23.0,LAL,78.0,19.2,9.1,0.461,0.376,0.762,12.7,0.594,0.61,8.1,6.5,0.8,0.5,5.9,18.5,2.7,-1.8,0.1,4010160.0,0.61,15.204341948102712,5,3&D Specialist,4222577.782321947,-212417.7823219467
207,207,T.J. McConnell,32.0,IND,79.0,17.9,9.1,0.519,0.306,0.74,18.4,0.547,0.079,7.6,37.0,2.8,1.3,14.2,23.4,3.2,1.2,1.2,10200000.0,0.61,16.13789837629371,7,High - Impact Starter / Primary Option,8964237.999969311,1235762.000030689
208,208,Yves Missi,20.0,NOP,73.0,26.8,9.1,0.547,0.0,0.623,15.4,0.572,0.002,16.6,7.2,0.9,4.8,12.4,14.3,3.6,-3.0,-0.5,3353040.0,0.256,15.025378253229258,4,Defensive Anchor / Elite Rebounder,5030156.1633478785,-1677116.1633478785
209,209,Royce O'Neale,31.0,PHO,75.0,24.5,9.1,0.423,0.406,0.731,12.6,0.585,0.774,10.6,12.3,1.8,1.7,10.1,15.5,2.8,0.1,1.0,10125000.0,0.439,16.130518269722305,5,3&D Specialist,10037074.312205924,87925.68779407628
210,210,Marcus Smart,30.0,MEM,34.0,20.0,9.0,0.393,0.348,0.761,12.4,0.529,0.549,5.6,21.7,2.7,1.2,15.8,20.6,0.7,-1.5,0.1,26720855.0,0.585,17.100954942047725,2,Low Impact / End of Bench,10344115.454544501,16376739.545455499
211,211,Draymond Green,34.0,GSW,68.0,29.2,9.0,0.424,0.325,0.687,12.4,0.534,0.483,11.2,26.2,2.4,3.4,23.3,15.9,3.7,0.5,1.3,25892857.0,0.585,17.069477735747192,1,Low Efficiency Creator,16668538.924591145,9224318.075408855
212,212,Al Horford,38.0,BOS,60.0,27.7,9.0,0.423,0.363,0.895,12.9,0.563,0.681,12.1,10.4,1.1,2.8,8.8,13.8,4.4,1.2,1.3,5685000.0,0.744,15.553341861068253,5,3&D Specialist,8949837.226936864,-3264837.2269368637
213,213,Julian Strawther,22.0,DEN,65.0,21.3,9.0,0.432,0.349,0.822,9.5,0.559,0.553,5.6,7.6,1.4,1.0,9.8,17.8,1.3,-4.5,-0.9,2674200.0,0.61,14.79916120210624,1,Low Efficiency Creator,3773756.0262427824,-1099556.0262427824
214,214,Patrick Williams,23.0,CHI,63.0,25.0,9.0,0.397,0.353,0.723,9.0,0.512,0.527,7.9,10.3,1.4,1.8,13.5,16.9,0.4,-3.7,-0.7,18000000.0,0.476,16.705882371415992,1,Low Efficiency Creator,6132785.446496941,11867214.553503059
215,215,Jusuf NurkiÄ‡,30.0,CHO,51.0,20.8,8.9,0.477,0.305,0.664,15.2,0.555,0.298,20.5,16.8,1.9,3.1,19.2,20.6,1.5,-1.3,0.2,19375000.0,0.232,16.77949418481659,6,Versatile Player,11702253.675673177,7672746.3243268225
216,216,Clint Capela,30.0,ATL,55.0,21.4,8.9,0.559,0.0,0.536,17.7,0.564,0.003,21.8,7.4,1.4,4.1,9.8,16.7,3.2,-1.0,0.3,6700000.0,0.488,15.717618233614914,4,Defensive Anchor / Elite Rebounder,7484239.134076427,-784239.1340764267
217,217,Luke Kennard,28.0,MEM,65.0,22.6,8.9,0.478,0.433,0.895,13.6,0.631,0.606,6.6,18.5,1.6,0.3,13.6,14.5,3.9,1.1,1.2,11000000.0,0.585,16.213405921671733,5,3&D Specialist,10165425.317257842,834574.682742158
218,218,Justin Champagnie,23.0,WAS,62.0,21.6,8.8,0.511,0.383,0.685,15.7,0.614,0.47,13.6,6.8,2.3,2.6,10.9,15.6,2.8,-0.5,0.5,2349578.0,0.22,14.669746721135084,6,Versatile Player,3902002.050211755,-1552424.050211755
219,219,Svi Mykhailiuk,27.0,UTA,38.0,20.0,8.8,0.391,0.345,0.8,9.8,0.526,0.672,6.4,14.7,1.2,0.9,14.1,20.3,-0.1,-3.5,-0.3,3675000.0,0.207,15.11706396273788,1,Low Efficiency Creator,4299178.791444159,-624178.7914441591
220,220,Chris Paul,39.0,SAS,82.0,28.0,8.8,0.427,0.377,0.924,14.7,0.58,0.636,6.9,34.8,2.2,0.9,17.1,14.0,5.7,0.8,1.6,2296274.0,0.415,14.646798802768483,7,High - Impact Starter / Primary Option,7481190.0713828085,-5184916.0713828085
221,221,Kelly Olynyk,33.0,TOR,44.0,20.3,8.7,0.5,0.418,0.769,14.9,0.609,0.295,12.4,20.5,1.8,2.0,19.4,18.5,1.7,-0.7,0.3,13445122.0,0.366,16.414126996025555,6,Versatile Player,10050115.726535432,3395006.273464568
222,222,Dorian Finney-Smith,31.0,LAL,63.0,28.9,8.7,0.448,0.411,0.667,10.1,0.604,0.722,7.7,6.9,1.6,1.2,11.0,12.3,2.9,-1.0,0.5,12700000.0,0.61,16.357112630168974,5,3&D Specialist,10387228.919465577,2312771.080534423
223,223,Kentavious Caldwell-Pope,31.0,ORL,77.0,29.6,8.7,0.439,0.342,0.863,9.9,0.574,0.607,4.3,8.7,2.2,1.4,9.6,12.4,4.6,-1.4,0.3,21621500.0,0.5,16.889198794222416,5,3&D Specialist,12045102.593412511,9576397.406587489
224,224,Isaiah Collier,20.0,UTA,71.0,25.9,8.7,0.422,0.249,0.682,9.7,0.494,0.305,6.9,34.3,1.7,0.8,25.0,18.9,-0.8,-5.3,-1.6,2638200.0,0.207,14.785607803443204,1,Low Efficiency Creator,3718322.1686137565,-1080122.1686137565
225,225,Dante Exum,29.0,DAL,20.0,18.6,8.7,0.478,0.434,0.742,13.6,0.589,0.396,4.8,21.5,1.6,0.7,13.0,19.6,0.6,-2.3,0.0,2296274.0,0.476,14.646798802768483,1,Low Efficiency Creator,7195528.517236968,-4899254.517236968
226,226,Kyshawn George,21.0,WAS,68.0,26.5,8.7,0.372,0.322,0.753,8.8,0.503,0.648,8.2,13.3,1.8,2.5,14.2,15.9,0.1,-4.1,-0.9,2966760.0,0.22,14.90298134328153,1,Low Efficiency Creator,4001558.054637945,-1034798.0546379448
227,227,Jaden Hardy,22.0,DAL,57.0,15.9,8.7,0.435,0.386,0.698,10.4,0.549,0.476,5.3,13.2,1.5,0.5,15.4,25.3,-0.3,-4.7,-0.6,6000000.0,0.476,15.607270193858982,1,Low Efficiency Creator,4697167.057598197,1302832.942401803
228,228,Dereck Lively II,20.0,DAL,36.0,23.1,8.7,0.702,0.0,0.63,20.1,0.704,0.0,17.7,14.3,1.2,5.7,15.5,13.6,3.4,3.3,1.1,5253360.0,0.476,15.47437862020949,4,Defensive Anchor / Elite Rebounder,6051666.260507969,-798306.2605079692
229,229,Tyrese Martin,25.0,BRK,60.0,21.9,8.7,0.406,0.351,0.793,10.9,0.533,0.606,9.5,14.6,1.3,0.7,13.1,18.8,0.9,-2.6,-0.2,2191897.0,0.317,14.60027839312064,1,Low Efficiency Creator,4172620.7681307616,-1980723.7681307616
230,230,Matas Buzelis,20.0,CHI,80.0,18.9,8.6,0.454,0.361,0.815,12.5,0.571,0.479,9.6,7.2,0.9,4.3,10.9,18.7,1.9,-2.5,-0.2,5455560.0,0.476,15.512146013391371,1,Low Efficiency Creator,4525177.667093128,930382.332906872
231,231,Jaime Jaquez Jr.,23.0,MIA,66.0,20.7,8.6,0.461,0.311,0.754,14.3,0.543,0.258,11.7,17.9,2.2,1.0,15.7,20.2,2.3,-0.9,0.4,3861600.0,0.451,15.166592422288405,1,Low Efficiency Creator,4735835.313766097,-874235.3137660967
232,232,Ja'Kobe Walter,20.0,TOR,52.0,21.2,8.6,0.405,0.349,0.795,10.8,0.523,0.473,7.8,10.2,1.9,0.9,10.4,18.2,1.2,-3.0,-0.3,3638160.0,0.366,15.10698889216619,1,Low Efficiency Creator,3692214.4583573453,-54054.45835734531
233,233,Sam Hauser,27.0,BOS,71.0,21.7,8.5,0.451,0.416,1.0,12.8,0.632,0.842,7.9,5.8,1.3,0.8,4.6,14.3,4.4,0.8,1.1,10044644.0,0.744,16.12255021464101,5,3&D Specialist,9026361.656161318,1018282.3438386824
