,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement
487,Christian Koloko,24.0,LAL,37.0,9.2,2.4,0.606,0.0,0.714,13.0,0.624,0.061,15.1,6.4,1.2,4.4,14.3,10.8,0.9,-2.8,-0.1
488,John Konchar,28.0,MEM,46.0,12.1,2.4,0.451,0.371,0.875,12.1,0.592,0.681,14.3,8.8,2.5,2.3,14.5,8.0,1.5,1.7,0.5
489,MarJon Beauchamp,24.0,MIL,35.0,4.5,2.3,0.415,0.345,0.75,12.3,0.535,0.446,15.6,10.2,1.2,0.6,16.9,24.9,0.1,-4.3,-0.1
490,Bronny James,20.0,LAL,27.0,6.7,2.3,0.313,0.281,0.786,7.1,0.424,0.478,5.6,16.5,2.4,1.6,15.1,20.9,-0.2,-7.2,-0.2
491,Mason Jones,26.0,SAC,10.0,4.5,2.3,0.5,0.125,0.8,20.6,0.569,0.444,11.2,35.6,0.0,2.2,4.7,20.3,0.2,2.9,0.1
492,Miles Norris,24.0,BOS,3.0,11.7,2.3,0.222,0.286,0.5,8.5,0.354,0.778,14.0,0.0,2.9,2.6,0.0,12.4,0.0,-1.9,0.0
493,Patrick Baldwin Jr.,22.0,WAS,24.0,4.5,2.2,0.543,0.565,0.5,16.2,0.721,0.657,12.3,4.6,1.3,1.7,12.0,16.4,0.2,1.5,0.1
494,Drew Peterson,25.0,BOS,25.0,7.4,2.2,0.415,0.394,0.778,10.5,0.601,0.805,11.7,9.1,1.3,1.0,15.1,12.5,0.4,-0.8,0.1
495,TyTy Washington Jr.,23.0,PHO,16.0,7.4,2.2,0.311,0.19,0.5,6.5,0.367,0.467,6.1,18.5,1.3,0.0,5.9,19.0,-0.2,-8.0,-0.2
496,Jordan McLaughlin,28.0,SAC,46.0,6.8,2.1,0.431,0.413,0.773,12.3,0.6,0.639,5.3,21.0,2.5,0.3,16.4,13.3,0.6,-1.6,0.0
497,JD Davison,22.0,BOS,16.0,5.8,2.1,0.353,0.222,0.714,6.5,0.445,0.529,7.6,19.1,2.7,1.0,26.0,23.6,-0.2,-6.2,-0.1
498,Chris Duarte,27.0,CHI,17.0,4.4,2.1,0.462,0.4,0.75,16.5,0.61,0.577,14.2,16.6,0.0,0.0,3.3,17.2,0.3,1.2,0.1
499,Enrique Freeman,24.0,IND,22.0,8.2,2.1,0.432,0.1,0.684,7.4,0.507,0.27,9.2,6.1,0.8,1.5,11.7,12.3,0.2,-6.3,-0.2
500,Johnny Furphy,20.0,IND,50.0,7.6,2.1,0.38,0.3,0.818,9.8,0.506,0.543,10.4,6.2,2.3,2.6,10.6,13.0,0.5,-2.5,0.0
501,Dwight Powell,33.0,DAL,55.0,10.0,2.1,0.689,0.4,0.651,12.9,0.713,0.082,11.7,12.5,1.6,3.3,18.4,7.6,1.7,0.0,0.3
502,Josh Christopher,23.0,MIA,14.0,4.9,2.0,0.355,0.182,0.667,9.4,0.416,0.355,7.2,17.2,3.6,4.2,15.1,25.5,-0.1,-7.9,-0.1
503,Tyler Kolek,23.0,NYK,41.0,7.2,2.0,0.329,0.298,0.765,10.3,0.453,0.573,5.2,29.5,2.0,1.3,16.7,15.8,0.4,-2.8,-0.1
504,Adama Sanogo,22.0,CHI,4.0,5.3,2.0,0.571,0.0,0.0,15.2,0.571,0.0,15.0,6.7,0.0,0.0,12.5,15.9,0.0,-2.6,0.0
505,Kobe Brown,25.0,LAC,40.0,6.8,1.9,0.458,0.231,0.714,10.8,0.513,0.361,13.5,11.9,1.3,1.5,13.8,14.0,0.5,-2.1,0.0
506,Ariel Hukporti,22.0,NYK,25.0,8.7,1.9,0.677,0.0,0.462,7.6,0.654,0.0,13.5,6.4,0.2,6.4,36.4,11.6,0.1,-5.6,-0.2
507,Bobi Klintman,21.0,DET,8.0,5.3,1.9,0.6,0.4,0.5,15.9,0.689,0.5,9.2,22.5,2.3,2.3,8.4,11.9,0.2,1.0,0.0
508,Garrett Temple,38.0,TOR,28.0,8.1,1.9,0.3,0.214,0.917,8.5,0.406,0.467,6.8,17.4,3.6,0.8,13.3,13.9,0.2,-3.6,-0.1
509,Jericho Sims,26.0,NYK,53.0,11.9,1.8,0.634,0.0,0.615,10.0,0.639,0.0,17.6,6.4,0.8,2.8,30.1,7.6,1.3,-3.0,-0.2
510,Vlatko Čančar,27.0,DEN,13.0,10.5,1.8,0.385,0.267,0.0,4.6,0.462,0.577,12.9,7.7,1.1,1.3,29.7,11.5,-0.1,-7.1,-0.2
511,Adam Flagler,25.0,OKC,37.0,5.5,1.8,0.26,0.194,0.5,3.7,0.335,0.75,7.1,7.3,1.9,1.5,4.0,21.1,-0.3,-10.3,-0.4
512,Trentyn Flowers,19.0,LAC,6.0,4.5,1.8,0.364,0.0,1.0,4.3,0.446,0.182,8.4,0.0,0.0,0.0,7.5,21.5,0.0,-8.3,0.0
513,E.J. Liddell,24.0,CHI,12.0,4.4,1.8,0.533,0.3,1.0,11.1,0.661,0.667,8.9,7.6,0.9,1.6,11.2,14.1,0.1,-4.1,0.0
514,Jahmir Young,24.0,CHI,6.0,5.0,1.8,0.8,0.5,1.0,16.8,0.935,0.4,5.2,26.2,0.0,0.0,14.5,9.6,0.1,0.5,0.0
515,Pacome Dadiet,19.0,NYK,18.0,6.2,1.7,0.323,0.316,0.667,6.3,0.446,0.613,9.3,5.6,1.3,1.7,10.6,14.7,0.0,-6.5,-0.1
516,Alex Ducas,24.0,OKC,21.0,6.0,1.7,0.4,0.476,1.0,10.1,0.583,0.7,11.2,4.8,1.9,0.0,11.5,11.8,0.3,-2.0,0.0
517,PJ Hall,22.0,DEN,19.0,3.5,1.7,0.583,0.25,0.75,18.3,0.641,0.333,18.3,8.4,0.0,5.4,7.2,17.8,0.2,-1.3,0.0
518,Emanuel Miller,24.0,CHI,6.0,4.2,1.7,0.5,0.0,1.0,18.1,0.563,0.125,16.8,10.9,1.9,0.0,0.0,14.8,0.1,-1.8,0.0
519,Tristan Thompson,33.0,CLE,40.0,8.2,1.7,0.437,0.0,0.233,9.1,0.41,0.042,22.1,8.8,0.3,3.0,14.3,12.7,0.4,-4.6,-0.2
520,Alex Len,31.0,SAC,46.0,8.3,1.6,0.508,0.222,0.471,10.6,0.525,0.143,14.0,12.6,1.2,5.4,22.1,10.3,0.7,-2.6,-0.1
521,Yuki Kawamura,23.0,MEM,22.0,4.2,1.6,0.367,0.304,0.778,11.0,0.53,0.767,6.8,25.1,1.0,0.0,12.8,16.9,0.2,-2.8,0.0
522,Jack McVeigh,28.0,HOU,9.0,4.8,1.6,0.294,0.308,0.0,4.0,0.412,0.765,6.2,3.0,0.0,4.2,10.5,18.2,0.0,-7.7,-0.1
523,Armel Traoré,22.0,LAL,9.0,7.4,1.6,0.316,0.0,0.286,3.5,0.317,0.368,12.6,2.0,2.9,2.8,12.0,16.4,-0.1,-9.8,-0.1
524,Jordan Walsh,20.0,BOS,52.0,7.8,1.6,0.361,0.273,0.583,6.9,0.464,0.663,9.3,6.0,1.5,2.5,16.1,11.5,0.4,-3.9,-0.2
525,Phillip Wheeler,22.0,PHI,5.0,8.8,1.6,0.143,0.0,1.0,-2.3,0.183,0.476,10.3,6.0,1.1,4.5,4.4,22.6,-0.3,-18.2,-0.2
526,Sidy Cissoko,20.0,SAS,22.0,5.2,1.5,0.433,0.231,0.333,6.7,0.471,0.433,9.9,17.7,0.9,0.8,24.5,16.6,-0.1,-5.1,-0.1
527,Jazian Gortman,21.0,DAL,16.0,3.6,1.5,0.391,0.364,0.5,6.5,0.485,0.478,4.8,14.7,1.7,1.5,16.8,22.4,-0.1,-6.3,-0.1
528,Kevin McCullar Jr.,23.0,NYK,4.0,7.3,1.5,0.286,0.0,1.0,6.7,0.381,0.143,15.8,8.4,1.7,3.2,0.0,11.8,0.0,-7.2,0.0
529,Leonard Miller,21.0,MIN,13.0,2.5,1.5,0.4,0.0,1.0,19.9,0.54,0.333,19.1,0.0,3.1,2.9,9.7,27.8,0.1,-3.7,0.0
530,Quincy Olivari,23.0,LAL,2.0,5.0,1.5,0.2,0.2,0.0,-5.2,0.3,1.0,0.0,13.3,0.0,0.0,16.7,26.3,-0.1,-18.6,0.0
531,Matt Ryan,27.0,NYK,19.0,3.6,1.5,0.323,0.316,1.0,6.1,0.439,0.613,6.8,5.9,1.5,0.0,8.6,22.3,-0.1,-7.5,-0.1
532,Jacob Toppin,24.0,NYK,17.0,4.5,1.4,0.409,0.5,0.0,9.2,0.523,0.455,11.2,10.2,1.3,0.0,12.0,13.9,0.0,-2.6,0.0
533,Cam Christie,19.0,LAC,13.0,4.5,1.4,0.292,0.154,0.5,9.1,0.349,0.542,11.5,13.7,4.2,1.7,7.2,20.5,0.0,-2.5,0.0
534,Chris Livingston,21.0,MIL,21.0,5.0,1.4,0.333,0.0,0.75,9.8,0.441,0.296,17.9,6.0,2.3,0.0,15.0,16.6,0.1,-6.1,-0.1
535,Trey Alexander,21.0,DEN,24.0,4.9,1.3,0.317,0.176,0.75,2.9,0.374,0.415,5.6,11.4,0.8,0.8,10.5,17.3,-0.2,-9.7,-0.2
536,Spencer Jones,23.0,DEN,20.0,6.3,1.3,0.324,0.059,1.0,4.5,0.368,0.5,7.5,4.7,1.9,3.6,12.4,13.7,-0.1,-8.5,-0.2
537,Skal Labissière,28.0,SAC,4.0,3.0,1.3,0.5,1.0,0.0,15.9,0.625,0.25,14.0,11.6,0.0,0.0,0.0,14.3,0.0,2.1,0.0
538,Jalen Bridges,23.0,PHO,8.0,3.8,1.1,0.286,0.286,0.75,-0.1,0.514,1.0,7.4,0.0,0.0,0.0,31.3,18.8,-0.1,-12.5,-0.1
539,Yuri Collins,23.0,GSW,2.0,8.0,1.0,0.333,0.0,0.0,13.9,0.333,0.0,10.1,31.9,6.1,0.0,0.0,7.9,0.1,0.3,0.0
540,Daniss Jenkins,23.0,DET,7.0,3.3,1.0,0.3,0.143,0.0,-0.1,0.322,0.7,4.8,17.3,0.0,0.0,8.4,21.8,-0.1,-15.8,-0.1
541,Braxton Key,27.0,GSW,3.0,3.7,1.0,0.0,0.0,0.5,1.1,0.226,0.25,9.8,0.0,8.8,0.0,13.1,29.3,-0.1,-13.6,0.0
542,Bryce McGowens,22.0,POR,13.0,2.5,1.0,0.286,0.0,0.833,1.7,0.391,0.286,5.1,8.7,1.5,0.0,19.4,26.8,-0.1,-13.6,-0.1
543,Xavier Tillman Sr.,26.0,BOS,33.0,7.0,1.0,0.245,0.156,0.75,2.4,0.31,0.604,10.1,3.8,2.4,2.0,20.4,13.1,-0.3,-8.1,-0.4
544,Luke Travers,23.0,CLE,12.0,7.3,1.0,0.25,0.0,1.0,1.9,0.287,0.45,12.3,10.5,0.5,1.0,27.7,13.9,-0.1,-9.7,-0.2
545,Isaiah Crawford,23.0,SAC,15.0,3.1,0.9,0.455,0.2,0.5,9.2,0.509,0.455,9.7,2.8,1.1,4.3,7.3,12.9,0.0,-4.1,0.0
546,Justin Minaya,25.0,POR,19.0,5.3,0.9,0.381,0.2,0.0,5.0,0.411,0.476,5.4,9.1,2.9,0.9,18.6,11.1,0.0,-5.4,-0.1
547,Anton Watson,24.0,NYK,9.0,2.4,0.9,0.444,0.0,0.0,5.9,0.444,0.111,7.8,12.8,2.3,0.0,18.2,21.7,0.0,-10.1,0.0
548,D.J. Carton,24.0,TOR,4.0,8.3,0.8,0.143,0.0,1.0,-2.6,0.202,0.429,6.5,10.9,2.9,0.0,35.0,14.5,-0.1,-11.1,-0.1
549,PJ Dozier,28.0,MIN,9.0,3.9,0.8,0.667,0.667,0.167,9.5,0.621,1.0,7.9,18.1,1.4,0.0,15.1,8.2,0.1,0.7,0.0
550,Joe Ingles,37.0,MIN,19.0,6.0,0.8,0.261,0.2,0.0,2.4,0.326,0.652,5.4,25.4,0.9,0.0,28.1,12.2,-0.1,-7.0,-0.1
551,Harrison Ingram,22.0,SAS,5.0,7.0,0.8,0.5,0.0,0.0,10.9,0.5,0.25,13.8,10.6,4.1,0.0,20.0,6.1,0.1,-1.2,0.0
552,Ulrich Chomche,19.0,TOR,7.0,4.6,0.7,0.4,0.0,0.5,5.2,0.425,0.0,13.4,7.8,0.0,3.0,25.4,10.3,0.0,-7.4,0.0
553,James Johnson,37.0,IND,12.0,3.1,0.7,0.364,0.0,0.0,0.0,0.35,0.273,9.0,13.7,0.0,4.9,25.9,18.0,-0.1,-9.7,-0.1
554,Liam Robbins,25.0,MIL,13.0,4.4,0.7,0.25,0.0,0.5,2.6,0.363,0.25,11.4,4.2,1.7,3.3,32.6,14.2,-0.1,-10.5,-0.1
555,Stanley Umude,25.0,MIL,22.0,3.9,0.7,0.192,0.2,0.5,3.4,0.27,0.577,10.7,5.7,1.7,6.5,9.8,15.7,-0.2,-8.1,-0.1
556,Cui Yongxi,21.0,BRK,5.0,2.0,0.6,0.143,0.0,0.5,-10.7,0.19,0.429,11.4,0.0,0.0,0.0,0.0,34.4,-0.1,-24.9,-0.1
557,Tristen Newton,23.0,IND,8.0,2.0,0.4,0.125,0.0,1.0,-6.1,0.178,0.375,13.9,15.4,3.1,0.0,19.2,28.2,-0.1,-20.7,-0.1
558,Malevy Leons,25.0,OKC,6.0,3.5,0.3,0.0,0.0,0.5,-2.3,0.266,0.5,7.7,5.1,0.0,0.0,21.0,9.6,0.0,-12.4,-0.1
559,Daishen Nix,22.0,MIN,3.0,4.3,0.3,0.0,0.0,0.5,-7.0,0.266,1.0,17.1,27.2,0.0,0.0,68.0,19.6,-0.1,-16.2,0.0
560,Terence Davis,27.0,SAC,1.0,8.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.5,7.0,14.1,0.0,0.0,0.0,10.8,0.0,-16.9,0.0
561,Jesse Edwards,24.0,MIN,2.0,2.5,0.0,0.0,0.0,0.0,-0.1,0.0,,0.0,23.6,0.0,0.0,0.0,0.0,0.0,-4.0,0.0
562,Mac McClung,26.0,ORL,2.0,5.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.5,5.7,37.8,0.0,0.0,0.0,8.7,0.0,-11.0,0.0
563,Jalen McDaniels,27.0,WAS,4.0,1.8,0.0,0.0,0.0,0.0,10.9,0.0,,0.0,17.4,6.8,0.0,0.0,0.0,0.0,5.6,0.0
564,Riley Minix,24.0,SAS,1.0,7.0,0.0,0.0,0.0,0.0,-1.7,0.0,1.0,15.3,0.0,0.0,0.0,0.0,6.1,0.0,-11.8,0.0
565,Jahlil Okafor,29.0,IND,1.0,3.0,0.0,0.0,0.0,0.0,13.8,0.0,,18.6,37.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0
566,Zyon Pullin,23.0,MEM,3.0,1.0,0.0,0.0,0.0,0.0,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,-22.7,0.0
567,Isaiah Stevens,24.0,MIA,3.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,18.4,0.0,8.3,0.0,0.0,14.8,0.0,-11.8,0.0
568,Terry Taylor,25.0,SAC,3.0,2.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,9.3,37.6,0.0,0.0,0.0,7.2,0.0,3.3,0.0
